LAB_ID,LAB_METHOD,GENERIC_METHOD,LAB_DIGEST,LAB_DETERMINATION,REMARKS
GENAL_AD,4AB/_C,COUNT_4A-ICPOES,NA,NA,Count for 4AB/OE? Method
GENAL_AD,4AB/_W,WEIGHT_4A-ICPOES,NA,NA,Weight for 4AB/OE?? Method
GENAL_AD,4AB/MS,4A-ICPMS,HPHN,ICPMS,"Four acid digests, with the inclusion of hydrofluoric acid targeting silicates"
GENAL_AD,4AB/MS_C,COUNT_4A-ICPMS,NA,NA,Count for 4AB/MS
GENAL_AD,4AB/OE,4A-ICPOES,HPHN,ICPOES,"Four acid digests, with the inclusion of hydrofluoric acid targeting silicates,"
GENAL_AD,4AHBr/_C,COUNT_4AICPOESOG,NA,NA,Count for 4AHBr/OE_OG? Method
GENAL_AD,4AHBr/_W,WEIGHT_4AICPMSOG,NA,NA,Weight for 4AHBr Method
GENAL_AD,4AHBr/MS,4A-ICPMS_OG,HPHN,ICPMS,"High grade sulphide ores are readily quantified using a 4 acid digest with an instrument finish that may include ICP-OES, ICP-MS or AAS, plus Bromine"
GENAL_AD,4AHBr/MS_C,COUNT_4AICPMS_OG,NA,NA,Count for 4AHBr Method
GENAL_AD,4AHBr/OE,4A-ICPOES_OG,NA,NA,Bromine
GENAL_AD,FA25/_C,COUNT_FA25-AAS,NA,NA,Count for FA25 method
GENAL_AD,FA25/_W,WEIGHT_FA25,NA,NA,Weight for FA25 method
GENAL_AD,FA25/MS,FA-ICPMS,FA,ICPMS,"Fire assay, 25g, ICP-MS finish"
GENAL_AD,FA25/MS_C,COUNT_FA-ICPMS,NA,NA,Count for FA25 ICPMS method
GENAL_AD,FA50/AA,FA50-AAS,FA,AAS,"Fire Assay, 50g, AAS finish"
GENAL_AD,FB6/_C,COUNT_LB-ICPOES,NA,NA,Count for FB6/OES? Method
GENAL_AD,FB6/_W,WEIGHT_LB-ICPMS,NA,NA,Weight for FB6/OES? Method
GENAL_AD,FB6/MS,LB-ICPMS,LMF,ICPMS,NULL
GENAL_AD,FB6/MS_C,COUNT_LB-ICPMS,NA,NA,Count for FB6/MS method
GENAL_AD,FB6/OE,LB-ICPOES,LMF,ICPOES,NULL
GENAL_AD,FC7/SIE,FC7/SIE,FC,SIE,"Carbonate fusion, Selective Ion Electrode"
GENAL_AD,SV04,SIZING,NA,NA,NULL
GENAL_AD,WT01,WEIGHT,NA,NA,NULL
GENAL_AD,WT02,WEIGHT1,NA,NA,NULL
GENAL_PT,A/MS,4A-ICPMS,HPHN,ICPMS,"Multi-acid attack including hydrofluoric, nitric, perchloric and hydrochloric acids, ICPMS"
GENAL_PT,A/OES,A-ICPOES,HPHN,ICPOES,"Multi-acid attack including hydrofluoric, nitric, perchloric and hydrochloric acids in teflon beakers. Suitable for dissolving silica based samples requiring low levels of detection. This digest approaches total dissolution for most minerals"
GENAL_PT,AT/EOES,4A-ICPSOES,HPHN,ICPOES,"Multi-acid attack including hydrofluoric, nitric, perchloric and hydrochloric acids in teflon test tubes using our specially designed, microprocessor controlled digester,by enhanced sensitivity OES."
GENAL_PT,AT/OES,4A-ICPOES,HPHN,ICPOES,"Multi-acid attack including hydrofluoric, nitric, perchloric and hydrochloric acids in teflon test tubes using our specially designed, microprocessor controlled digester."
GENAL_PT,AX/OES,4A-ICPOES_OG,HPHN,ICPOES,"Multi-acid attack including hydrofluoric, nitric, perchloric and hydrochloric acids in teflon test tubes using our specially designed, microprocessor controlled digester,modified for high-precision ore-body evaluation of base metals"
GENAL_PT,B/MS,B/MS,AR,ICPMS,NULL
GENAL_PT,B/OES,B/OES,AR,ICPOES,NULL
GENAL_PT,B/SAAS,B/SAAS,AR,SAAS,NULL
GENAL_PT,CALC,CALC,NA,NA,Oxide calculations
GENAL_PT,D/MS,DX-ICPMS,DX,ICPMS,Oxidative alkaline fusion using sodium peroxide as the flux in zirconium crucibles and  hydrochloric acid to dissolve the melt. Total dissolution for virtually all minerals. OES finish
GENAL_PT,D/OES,DX-ICPOES,DX,OES,Oxidative alkaline fusion using sodium peroxide as the flux in zirconium crucibles and  hydrochloric acid to dissolve the melt. Total dissolution for virtually all minerals.
GENAL_PT,FA25/AAS,FA25-AAS,FA,AAS,NULL
GENAL_PT,FA25/SAAS,FA25-SAAS,FA,SAAS,NULL
GENAL_PT,FA50/AAS,FA50-AAS,FA,AAS,NULL
GENALYS,4AB/OE,MA-OES,MA,OES,NULL
GENALYS,A/MS,MA-MS,MA,AS,Four Acid
GENALYS,A/OES,4A-ICPAES,HPHN,ICPAES,NULL
GENALYS,AT/AAS,MA-AAS,MA,AAS,It needs to be verified
GENALYS,AT/MS,MA-ICPMS,MA,ICPMS,Four acid digest (including hydrofluoric acid) and ICPMS measurement
GENALYS,AT/OES,4A-ICPAES-t,HPHN,ICPAES-t,NULL
GENALYS,AX/AAS,AX/AAS,AX,AAS,NULL
GENALYS,CALC,CALC,NULL,NULL,Calculated value
GENALYS,FA/EMS,FA-ICPEMS,FA,EMS,NULL
GENALYS,FA25/AAS,FA-AAS-25,FA,AAS,25g Lead Collection fire assay and flame AAS
GENALYS,FA25/MS,FA-ICPMS-25,FA,MS,NULL
GENALYS,FA25/OES,FA,FA,OES,NULL
GENALYS,FA25N/EMS,FA-EMS-25,FA,EMS,NULL
GENALYS,FA50/AAS,FA50-AAS,FA,AAS,50g Lead Collection fire assay and flame AAS
GENALYS,FS/MS105,FS-MS,FS,MS,NULL
GENALYS,FS/OES105,FS-OES,FS,OES,NULL
GENALYS,GRAV,GRAV,NULL,NULL,NULL
GENALYS,QAScreen,QAScreen,NA,VOL,NULL
GENALYS,Seqno,Seqno,NULL,NULL,NULL
INTERTEK,FA12,FA-GRAV-50,FA,GRAV,NULL
INTERTEK,FA30,FA-AAS-30,FA,AAS,NULL
LYNX,IC591,IC591,UNK,UNK,Historic
LYNX,PM208,PM208,UNK,UNK,Historic
MAS,FA/AAS,FA-AAS-50,FA,AAS,NULL
MAS,Geo23ICP,AR-ICPAES,AR,ICPAES,Geochemical  23 elements  by aqua regia leach / ICP - ES determination. Offers good to excellent detection limits for a wide variety of base metals and pathfinder elements. 
METSOLVE,FAS-111,FAS-111,AR,AAS,NULL
METSOLVE,IMS-230,IMS-230,HPHN,ICPEMS,NULL
METSOLVE,MSC-530,MSC-530,SFA,VARIOUS,NULL
METSOLVE,PWE-100,PWE-100,NA,WEIGHT,NULL
MIN-EN,UNK,UNK,UNK,UNK,NULL
SRC,SRC-COLI,SRC-COLI,NA,COUNT,NULL
SRC,SRC-MET,SRC-MET,NA,NA,NULL
TSL,UNK,UNK,UNK,UNK,NULL
ULTRA,Count,COUNT,NA,NA,Assay Count
ULTRA,FA002,FA-ICPAES,FA,ICPAES,NULL
ULTRA,FA003,FA003,FA,ICPMS,NULL
ULTRA,ICP302,4A-ICPMS,4A,ICPMS,NULL
UNK,IC587,IC587,UNK,UNK,Historic
UNK,UNK,UNK,NULL,NULL,NULL
ZCL,UNK,UNK,NULL,NULL,Unknown details for Lab ZCL
